TERYT;DZ_IDENT;GR_WL_OP
126105_9;126105_9.0023.19;Gmina Kraków - współwłasność
126105_9;126105_9.0023.193;Gmina Kraków - współwłasność
126105_9;126105_9.0023.935;Gmina Kraków - współwłasność
126105_9;126105_9.0004.864;Gmina Kraków - współwłasność
126105_9;126105_9.0005.547;Gmina Kraków - współwłasność
126105_9;126105_9.0003.178;Gmina Kraków - współwłasność
126105_9;126105_9.0005.558;Gmina Kraków - współwłasność
126105_9;126105_9.0004.765;Gmina Kraków - współwłasność
126105_9;126105_9.0004.767;Gmina Kraków - współwłasność
126105_9;126105_9.0004.680;Gmina Kraków - współwłasność
126105_9;126105_9.0004.681;Gmina Kraków - współwłasność
126105_9;126105_9.0004.805;Gmina Kraków - współwłasność
126105_9;126105_9.0016.435;Gmina Kraków - współwłasność
126105_9;126105_9.0016.290;Gmina Kraków - współwłasność
126105_9;126105_9.0016.291;Gmina Kraków - współwłasność
126105_9;126105_9.0007.164;Gmina Kraków - współwłasność
126105_9;126105_9.0008.285;Gmina Kraków - współwłasność
126105_9;126105_9.0006.554;Gmina Kraków - współwłasność
126105_9;126105_9.0006.555;Gmina Kraków - współwłasność
126105_9;126105_9.0011.136;Gmina Kraków - współwłasność
126105_9;126105_9.0017.305;Gmina Kraków - współwłasność
126105_9;126105_9.0006.622;Gmina Kraków - współwłasność
126105_9;126105_9.0017.329;Gmina Kraków - współwłasność
126105_9;126105_9.0001.452;Gmina Kraków - współwłasność
126105_9;126105_9.0216.2;Gmina Kraków - współwłasność
126105_9;126105_9.0119.192;Gmina Kraków - współwłasność
126105_9;126105_9.0016.41/89;Gmina Kraków - współwłasność
126105_9;126105_9.0016.239/9;Gmina Kraków - współwłasność
126105_9;126105_9.0016.239/8;Gmina Kraków - współwłasność
126105_9;126105_9.0004.171/74;Gmina Kraków - współwłasność
126105_9;126105_9.0006.521/7;Gmina Kraków - współwłasność
126105_9;126105_9.0016.239/7;Gmina Kraków - współwłasność
126105_9;126105_9.0016.178/6;Gmina Kraków - współwłasność
126105_9;126105_9.0008.219/5;Gmina Kraków - współwłasność
126105_9;126105_9.0017.148/47;Gmina Kraków - współwłasność
126105_9;126105_9.0022.700/4;Gmina Kraków - współwłasność
126105_9;126105_9.0016.178/4;Gmina Kraków - współwłasność
126105_9;126105_9.0005.494/3;Gmina Kraków - współwłasność
126105_9;126105_9.0005.496/3;Gmina Kraków - współwłasność
126105_9;126105_9.0017.239/3;Gmina Kraków - współwłasność
126105_9;126105_9.0016.178/3;Gmina Kraków - współwłasność
126105_9;126105_9.0008.219/23;Gmina Kraków - współwłasność
126105_9;126105_9.0017.244/21;Gmina Kraków - współwłasność
126105_9;126105_9.0016.256/2;Gmina Kraków - współwłasność
126105_9;126105_9.0007.148/2;Gmina Kraków - współwłasność
126105_9;126105_9.0017.308/2;Gmina Kraków - współwłasność
126105_9;126105_9.0016.178/2;Gmina Kraków - współwłasność
126105_9;126105_9.0061.119/2;Gmina Kraków - współwłasność
126105_9;126105_9.0017.244/19;Gmina Kraków - współwłasność
126105_9;126105_9.0008.219/16;Gmina Kraków - współwłasność
126105_9;126105_9.0017.244/12;Gmina Kraków - współwłasność
126105_9;126105_9.0017.237/10;Gmina Kraków - współwłasność
126105_9;126105_9.0005.472/1;Gmina Kraków - współwłasność
126105_9;126105_9.0008.188/1;Gmina Kraków - współwłasność
126105_9;126105_9.0023.1099;Gmina Kraków - współwłasność
126105_9;126105_9.0023.1158;Gmina Kraków - współwłasność
126105_9;126105_9.0023.1028;Gmina Kraków - współwłasność
126105_9;126105_9.0023.1042;Gmina Kraków - współwłasność
126105_9;126105_9.0004.3/14;Gmina Kraków - współwłasność
126105_9;126105_9.0015.87/2;Gmina Kraków - współwłasność
126104_9;126104_9.0101.710;Gmina Kraków - współwłasność
126104_9;126104_9.0106.414;Gmina Kraków - współwłasność
126104_9;126104_9.0105.483;Gmina Kraków - współwłasność
126104_9;126104_9.0105.484;Gmina Kraków - współwłasność
126104_9;126104_9.0106.379;Gmina Kraków - współwłasność
126104_9;126104_9.0108.550;Gmina Kraków - współwłasność
126104_9;126104_9.0105.259/4;Gmina Kraków - współwłasność
126104_9;126104_9.0107.87/6;Gmina Kraków - współwłasność
126104_9;126104_9.0105.71/1;Gmina Kraków - współwłasność
126104_9;126104_9.0107.71/3;Gmina Kraków - współwłasność
126102_9;126102_9.0001.271;Gmina Kraków - współwłasność
126102_9;126102_9.0002.375;Gmina Kraków - współwłasność
126102_9;126102_9.0002.376;Gmina Kraków - współwłasność
126102_9;126102_9.0002.466;Gmina Kraków - współwłasność
126102_9;126102_9.0002.770;Gmina Kraków - współwłasność
126102_9;126102_9.0003.652;Gmina Kraków - współwłasność
126102_9;126102_9.0003.388;Gmina Kraków - współwłasność
126102_9;126102_9.0003.252;Gmina Kraków - współwłasność
126102_9;126102_9.0005.316;Gmina Kraków - współwłasność
126102_9;126102_9.0005.317;Gmina Kraków - współwłasność
126102_9;126102_9.0005.318;Gmina Kraków - współwłasność
126102_9;126102_9.0005.135;Gmina Kraków - współwłasność
126102_9;126102_9.0005.137;Gmina Kraków - współwłasność
126102_9;126102_9.0006.463;Gmina Kraków - współwłasność
126102_9;126102_9.0010.365;Gmina Kraków - współwłasność
126102_9;126102_9.0010.695;Gmina Kraków - współwłasność
126102_9;126102_9.0009.345;Gmina Kraków - współwłasność
126102_9;126102_9.0012.220;Gmina Kraków - współwłasność
126102_9;126102_9.0011.770;Gmina Kraków - współwłasność
126102_9;126102_9.0011.426;Gmina Kraków - współwłasność
126102_9;126102_9.0011.615;Gmina Kraków - współwłasność
126102_9;126102_9.0011.630;Gmina Kraków - współwłasność
126102_9;126102_9.0011.362;Gmina Kraków - współwłasność
126102_9;126102_9.0014.406;Gmina Kraków - współwłasność
126102_9;126102_9.0014.538;Gmina Kraków - współwłasność
126102_9;126102_9.0021.362;Gmina Kraków - współwłasność
126102_9;126102_9.0017.299;Gmina Kraków - współwłasność
126102_9;126102_9.0029.863;Gmina Kraków - współwłasność
126102_9;126102_9.0032.310;Gmina Kraków - współwłasność
126102_9;126102_9.0032.316;Gmina Kraków - współwłasność
